0,0,788,448,145,219,1,1,1
0,1,345,146,112,131,1,1,1
0,2,1007,252,59,68,1,1,1
0,3,1174,232,58,69,1,1,1
0,4,566,246,50,62,1,1,1
0,5,662,271,66,77,1,1,1
0,6,953,267,61,59,1,1,1
1,0,788,448,145,219,1,1,1
1,1,347,147,112,130,1,1,1
1,3,1174,232,58,69,1,1,1
1,2,1007,252,59,69,1,1,1
1,4,566,246,51,62,1,1,1
1,6,954,268,61,58,1,1,1
1,5,663,271,65,77,1,1,1
2,0,788,448,145,220,1,1,1
2,1,348,147,111,130,1,1,1
2,3,1174,232,58,69,1,1,1
2,2,1007,252,60,69,1,1,1
2,4,566,247,51,62,1,1,1
2,5,660,272,69,77,1,1,1
2,6,955,268,60,59,1,1,1
3,0,787,448,146,219,1,1,1
3,1,349,148,112,130,1,1,1
3,3,1174,232,58,69,1,1,1
3,2,1008,252,59,69,1,1,1
3,4,566,247,51,62,1,1,1
3,5,661,272,68,78,1,1,1
3,6,955,268,60,60,1,1,1
4,0,788,447,145,220,1,1,1
4,1,350,148,111,129,1,1,1
4,3,1174,232,58,69,1,1,1
4,2,1008,253,60,67,1,1,1
4,4,566,247,52,64,1,1,1
4,5,662,272,68,79,1,1,1
4,6,955,269,61,60,1,1,1
5,0,787,447,146,220,1,1,1
5,1,351,148,111,129,1,1,1
5,3,1173,233,59,69,1,1,1
5,2,1009,253,59,67,1,1,1
5,4,566,247,52,65,1,1,1
5,5,662,273,68,78,1,1,1
5,6,956,269,60,61,1,1,1
5,7,1267,196,13,60,1,1,1
6,0,788,447,146,220,1,1,1
6,1,352,149,110,129,1,1,1
6,3,1173,233,59,69,1,1,1
6,2,1010,253,58,67,1,1,1
6,5,663,273,68,79,1,1,1
6,4,567,248,51,63,1,1,1
6,6,956,269,60,61,1,1,1
6,7,1267,198,13,58,1,1,1
7,0,788,447,146,219,1,1,1
7,1,352,149,111,129,1,1,1
7,3,1173,233,58,69,1,1,1
7,2,1010,254,59,66,1,1,1
7,5,663,274,68,79,1,1,1
7,4,567,248,51,62,1,1,1
7,6,956,270,61,60,1,1,1
7,7,1266,199,14,58,1,1,1
8,0,788,447,147,219,1,1,1
8,1,353,150,110,128,1,1,1
8,3,1173,233,58,68,1,1,1
8,5,663,275,68,79,1,1,1
8,2,1011,254,58,66,1,1,1
8,4,567,248,51,62,1,1,1
8,6,957,270,60,60,1,1,1
8,7,1264,199,16,58,1,1,1
9,0,788,448,147,218,1,1,1
9,1,354,150,109,128,1,1,1
9,3,1173,233,58,68,1,1,1
9,5,664,276,67,77,1,1,1
9,4,567,249,51,62,1,1,1
9,2,1013,254,56,64,1,1,1
9,6,957,271,61,60,1,1,1
9,7,1263,199,17,62,1,1,1
10,0,789,448,147,218,1,1,1
10,1,355,151,108,127,1,1,1
10,3,1173,233,57,67,1,1,1
10,5,665,276,66,76,1,1,1
10,4,568,249,52,63,1,1,1
10,2,1014,254,56,64,1,1,1
10,6,958,271,60,60,1,1,1
10,7,1262,198,18,72,1,1,1
11,0,789,448,147,217,1,1,1
11,1,356,152,108,126,1,1,1
11,3,1173,233,57,68,1,1,1
11,5,666,277,65,75,1,1,1
11,4,568,250,52,62,1,1,1
11,6,959,272,60,60,1,1,1
11,2,1014,255,57,63,1,1,1
